"_messagetimems","_messagetime","endace_pivot_to_vision","_raw"
"1716397806813","05/22/2024 12:10:06.813 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397804000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.10%2610.0.1.203)","{""log.file.name"":""smb_files.log"",""log"":""1716397804.550480\tCctjbU39GLacEtYT9f\t10.0.1.10\t59361\t10.0.1.203\t445\t-\tSMB::FILE_OPEN\t\\\\\\\\Win2008SRV\\\\MyShare\tmyfile.bin\t10241\t-\t1568719723.573839\t1568723589.043933\t1568723589.045925\t1568719723.574519""}"
"1716397806813","05/22/2024 12:10:06.813 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397804000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.13%2610.0.1.192)","{""log.file.name"":""smb_files.log"",""log"":""1716397804.413189\tCOBg4V389vC0UFmNPa\t10.0.1.13\t47760\t10.0.1.192\t445\t-\tSMB::FILE_OPEN\t\\\\\\\\Win2008SRV\\\\MyShare\tmyfile.bin\t10241\t-\t1568719723.571912\t1568723589.041445\t1568723589.044627\t1568719723.571997""}"
"1716397806813","05/22/2024 12:10:06.813 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397804000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.8%2610.0.1.181)","{""log.file.name"":""smb_files.log"",""log"":""1716397804.597295\tC5Dhx74LTBhbKSc1mb\t10.0.1.8\t50016\t10.0.1.181\t445\t-\tSMB::FILE_OPEN\t\\\\\\\\Win2008SRV\\\\MyShare\tmyfile.bin\t10241\t-\t1568719723.571203\t1568723589.045519\t1568723589.042218\t1568719723.573366""}"
"1716397803806","05/22/2024 12:10:03.806 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397800000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.1%2610.0.1.175)","{""log.file.name"":""smb_files.log"",""log"":""1716397800.774164\tCRL2pcpudxVO718Ik\t10.0.1.1\t43980\t10.0.1.175\t445\t-\tSMB::FILE_OPEN\t\\\\\\\\Win2008SRV\\\\MyShare\tmyfile.bin\t10241\t-\t1568719723.575478\t1568723589.046220\t1568723589.044636\t1568719723.575499""}"
"1716397803806","05/22/2024 12:10:03.806 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397801000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.13%2610.0.1.217)","{""log.file.name"":""smb_files.log"",""log"":""1716397801.245560\tCT6eop2QzSW7YvpUpa\t10.0.1.13\t60994\t10.0.1.217\t445\t-\tSMB::FILE_OPEN\t\\\\\\\\Win2008SRV\\\\MyShare\tmyfile.bin\t10241\t-\t1568719723.574466\t1568723589.042510\t1568723589.043231\t1568719723.576464""}"
"1716397803806","05/22/2024 12:10:03.806 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397801000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.13%2610.0.1.217)","{""log.file.name"":""smb_files.log"",""log"":""1716397801.500912\tCxqheu4JzcVip1u9cg\t10.0.1.13\t47293\t10.0.1.217\t445\t-\tSMB::FILE_OPEN\t\\\\\\\\Win2008SRV\\\\MyShare\tmyfile.bin\t10241\t-\t1568719723.571203\t1568723589.045519\t1568723589.042218\t1568719723.573366""}"
"1716397803806","05/22/2024 12:10:03.806 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397801000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.12%2610.0.1.150)","{""log.file.name"":""smb_files.log"",""log"":""1716397801.468520\tCsSINr2lnQrhJSdMm\t10.0.1.12\t58553\t10.0.1.150\t445\t-\tSMB::FILE_OPEN\t\\\\\\\\Win2008SRV\\\\MyShare\tmyfile.bin\t10241\t-\t1568719723.576103\t1568723589.042797\t1568723589.045899\t1568719723.575176""}"
"1716397803806","05/22/2024 12:10:03.806 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397801000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.1%2610.0.1.203)","{""log.file.name"":""smb_files.log"",""log"":""1716397801.572893\tCs6JijMflCShtQe2k\t10.0.1.1\t39445\t10.0.1.203\t139\t-\tSMB::FILE_OPEN\t-\tnPvk0iDSQqSH2.bpt\t1012264\t-\t1201639518.044503\t1201639518.044503\t1191955320.194633\t1201639518.044503""}"
"1716397802805","05/22/2024 12:10:02.805 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397800000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.3%2610.0.1.208)","{""log.file.name"":""smb_files.log"",""log"":""1716397800.097831\tCvTu3o2V420cvRWjfl\t10.0.1.3\t50463\t10.0.1.208\t445\t-\tSMB::FILE_OPEN\t\\\\\\\\Win2008SRV\\\\MyShare\tmyfile.bin\t10241\t-\t1568719723.571203\t1568723589.045519\t1568723589.042218\t1568719723.573366""}"
"1716397802805","05/22/2024 12:10:02.805 -0500","[Endace_Pivot_to_Vision](https://dim-1.lab.endace.com/vision2/pivotintovision/?title=Pivot%20from%20SumoLogic&datasources=tag:rotation-file&incidenttime=1716397800000&reltime=5m&tools=trafficOverTime_by_app,conversations_by_ipaddress&ip_conv=10.0.1.9%2610.0.1.195)","{""log.file.name"":""smb_files.log"",""log"":""1716397800.248010\tCL8LMxHt91t7hRIef\t10.0.1.9\t43376\t10.0.1.195\t445\t-\tSMB::FILE_OPEN\t\\\\\\\\Win2008SRV\\\\MyShare\tmyfile.bin\t10241\t-\t1568719723.574466\t1568723589.042510\t1568723589.043231\t1568719723.576464""}"
